Date,Close,MA50,MA200,GoldenCross
2020-11-02,330.2,,,0
2020-11-03,336.03,,,0
2020-11-04,343.54,,,0
2020-11-05,350.24,,,0
2020-11-06,350.16,,,0
2020-11-09,354.56,,,0
2020-11-10,354.04,,,0
2020-11-11,356.67,,,0
2020-11-12,353.21,,,0
2020-11-13,358.1,,,0
2020-11-16,362.57,,,0
2020-11-17,360.62,,,0
2020-11-18,356.28,,,0
2020-11-19,357.78,,,0
2020-11-20,355.33,,,0
2020-11-23,357.46,,,0
2020-11-24,363.22,,,0
2020-11-25,362.66,,,0
2020-11-27,363.67,,,0
2020-11-30,362.06,,,0
2020-12-01,366.02,,,0
2020-12-02,366.79,,,0
2020-12-03,366.69,,,0
2020-12-04,369.85,,,0
2020-12-07,369.09,,,0
2020-12-08,370.17,,,0
2020-12-09,366.85,,,0
2020-12-10,366.73,,,0
2020-12-11,366.3,,,0
2020-12-14,364.66,,,0
2020-12-15,369.59,,,0
2020-12-16,370.17,,,0
2020-12-17,372.24,,,0
2020-12-18,369.18,,,0
2020-12-21,367.86,,,0
2020-12-22,367.24,,,0
2020-12-23,367.57,,,0
2020-12-24,369.0,,,0
2020-12-28,372.17,,,0
2020-12-29,371.46,,,0
2020-12-30,371.99,,,0
2020-12-31,373.88,,,0
2021-01-04,368.79,,,0
2021-01-05,371.33,,,0
2021-01-06,373.55,,,0
2021-01-07,379.1,,,0
2021-01-08,381.26,,,0
2021-01-11,378.69,,,0
2021-01-12,378.77,,,0
2021-01-13,379.79,364.3036,,0
2021-01-14,378.46,365.2688,,0
2021-01-15,375.7,366.0622,,0
2021-01-19,378.65,366.7644,,0
2021-01-20,383.89,367.4374,,0
2021-01-21,384.24,368.119,,0
2021-01-22,382.88,368.6854,,0
2021-01-25,384.39,369.2924,,0
2021-01-26,383.79,369.83480000000003,,0
2021-01-27,374.41,370.25879999999995,,0
2021-01-28,377.63,370.6494,,0
2021-01-29,370.07,370.79940000000005,,0
2021-02-01,376.23,371.1116,,0
2021-02-02,381.55,371.61699999999996,,0
2021-02-03,381.85,372.0984,,0
2021-02-04,386.19,372.7156,,0
2021-02-05,387.71,373.32059999999996,,0
2021-02-08,390.51,373.86640000000006,,0
2021-02-09,390.25,374.41820000000007,,0
2021-02-10,390.08,374.9464,,0
2021-02-11,390.71,375.51939999999996,,0
2021-02-12,392.64,376.0518,,0
2021-02-16,392.3,376.56200000000007,,0
2021-02-17,392.39,377.07599999999996,,0
2021-02-18,390.72,377.49340000000007,,0
2021-02-19,390.03,377.9122,,0
2021-02-22,387.03,378.24940000000004,,0
2021-02-23,387.5,378.6624,,0
2021-02-24,391.77,379.1632,,0
2021-02-25,382.33,379.48380000000003,,0
2021-02-26,380.36,379.7978,,0
2021-03-01,389.58,380.1976,,0
2021-03-02,386.54,380.525,,0
2021-03-03,381.42,380.7086,,0
2021-03-04,376.7,380.85900000000004,,0
2021-03-05,383.63,381.17440000000005,,0
2021-03-08,381.72,381.46399999999994,,0
2021-03-09,387.17,381.856,,0
2021-03-10,389.58,382.26759999999996,,0
2021-03-11,393.53,382.69480000000004,,0
2021-03-12,394.06,383.1468,,0
2021-03-15,396.41,383.63519999999994,,0
2021-03-16,395.91,384.07579999999996,,0
2021-03-17,397.26,384.64520000000005,,0
2021-03-18,391.48,385.0482,,0
2021-03-19,389.48,385.3668,,0
2021-03-22,392.59,385.6366,,0
2021-03-23,389.5,385.8014,,0
2021-03-24,387.52,385.978,,0
2021-03-25,389.7,386.19660000000005,,0
2021-03-26,395.98,386.5204,,0
2021-03-29,395.78,386.8668,,0
2021-03-30,394.73,387.24739999999997,,0
2021-03-31,396.33,387.601,,0
2021-04-01,400.61,387.9354,,0
2021-04-05,406.36,388.3778,,0
2021-04-06,406.12,388.8426,,0
2021-04-07,406.59,389.2866,,0
2021-04-08,408.52,389.7812,,0
2021-04-09,411.49,390.52279999999996,,0
2021-04-12,411.64,391.203,,0
2021-04-13,412.86,392.05879999999996,,0
2021-04-14,411.45,392.7632,,0
2021-04-15,415.87,393.4496,,0
